algorithm,ensemble_size,depth,timeout,mean_score,std_score,mean_time,best_score,best_set
LNMCS,1000,6,90,0.7548666666666668,0.039978383047731034,90.22126636505126,0.8463333333333333,"[('CDH1', False), ('CTNNB1', True), ('NICD', True), ('SNAI1', True), ('TGFbeta', True), ('ZEB1', True)]"
BILNMCS,1000,6,90,0.77952,0.06881134790134547,88.10086183547973,0.9224,"[('CTNNB1', True), ('DNAdamage', False), ('Metastasis', True), ('NICD', True), ('SMAD', True), ('SNAI1', True)]"
NRPA,1000,6,90,0.7355666666666666,0.027026345171578987,90.12072594165802,0.7773333333333333,"[('AKT2', True), ('CDH1', False), ('CTNNB1', True), ('GF', True), ('SMAD', True), ('SNAI1', True)]"
GNRPA,1000,6,90,0.7204666666666666,0.052797558866127685,90.22425439357758,0.7869999999999999,"[('ECMicroenv', True), ('TWIST1', True), ('SMAD', True), ('DNAdamage', False), ('Migration', True), ('ZEB1', True)]"
NMCS,1000,8,90,0.6956,0.04392235573524415,90.20861518383026,0.7796666666666666,"[('AKT2', True), ('CTNNB1', True), ('GF', False), ('NICD', False), ('NICD', True), ('SNAI1', True), ('ZEB1', True), ('p21', True)]"
LNMCS,1000,8,90,0.7156999999999999,0.05613009689799033,90.17961797714233,0.803,"[('CDH2', True), ('CTNNB1', True), ('ERK', True), ('NICD', True), ('SMAD', True), ('miR203', False), ('p21', True), ('p73', False)]"
BILNMCS,1000,8,90,0.76196,0.047457416701712704,90.21259050369262,0.8235999999999999,"[('AKT2', True), ('ECMicroenv', True), ('SMAD', False), ('SMAD', True), ('SNAI2', True), ('TWIST1', True), ('VIM', False), ('ZEB1', True)]"
NRPA,1000,8,90,0.7890666666666666,0.0416503434693054,90.22968707084655,0.834,"[('CDH1', False), ('CDH2', True), ('CTNNB1', True), ('DKK1', False), ('SMAD', True), ('SNAI1', True), ('ZEB1', True), ('ZEB2', True)]"
GNRPA,1000,8,90,0.7496666666666667,0.04146752410689068,87.00685119628906,0.7990000000000002,"[('SMAD', True), ('SNAI1', True), ('DNAdamage', False), ('p63', False), ('ZEB1', True), ('TGFbeta', False), ('NICD', True), ('p21', True)]"
NMCS,1000,9,90,0.6830333333333334,0.027152020591886393,90.12018122673035,0.7276666666666668,"[('AKT1', True), ('CTNNB1', True), ('DNAdamage', False), ('ECMicroenv', True), ('Metastasis', False), ('NICD', True), ('SNAI2', True), ('VIM', True), ('p63', False)]"
LNMCS,1000,9,90,0.7402333333333335,0.036831462999270925,90.29861805438995,0.7863333333333332,"[('CTNNB1', True), ('ERK', True), ('Metastasis', False), ('SMAD', True), ('SNAI2', False), ('SNAI2', True), ('TWIST1', True), ('p21', True), ('p73', False)]"
BILNMCS,1000,9,90,0.8006400000000001,0.06853815287852452,90.15619175434112,0.9428,"[('CDH1', False), ('CTNNB1', True), ('DNAdamage', False), ('ECMicroenv', False), ('Migration', True), ('NICD', True), ('SMAD', True), ('SNAI1', True), ('p73', False)]"
NRPA,1000,9,90,0.7954333333333332,0.033650507673238246,90.32513349056244,0.8446666666666666,"[('AKT2', True), ('CDH1', False), ('CDH2', True), ('CTNNB1', True), ('DKK1', True), ('DNAdamage', False), ('ECMicroenv', True), ('SMAD', True), ('SNAI2', True)]"
GNRPA,1000,9,90,0.7353666666666667,0.04499393786327716,87.51275429725646,0.805,"[('TGFbeta', True), ('p53', False), ('SMAD', True), ('miR34', False), ('CDH1', False), ('p21', True), ('p73', False), ('CDH2', True), ('miR203', True)]"
NMCS,1000,10,90,0.6956,0.08184209729038526,90.3789561033249,0.7976666666666667,"[('AKT2', True), ('CDH1', False), ('CDH2', True), ('CTNNB1', True), ('Migration', False), ('SNAI1', True), ('SNAI2', True), ('TWIST1', True), ('VIM', True), ('p21', True)]"
LNMCS,1000,10,90,0.6744666666666667,0.05301010385870893,90.37172474861146,0.8029999999999999,"[('CTNNB1', True), ('DKK1', True), ('ECMicroenv', True), ('Metastasis', True), ('SMAD', True), ('SNAI1', True), ('TGFbeta', True), ('TWIST1', True), ('p63', False), ('p73', False)]"
BILNMCS,1000,10,90,0.75676,0.05643444338345154,90.22870614528657,0.8443999999999999,"[('AKT2', True), ('CTNNB1', True), ('DKK1', False), ('DNAdamage', False), ('GF', False), ('GF', True), ('SNAI1', True), ('TGFbeta', False), ('ZEB2', True), ('p73', False)]"
NRPA,1000,10,90,0.7869,0.041055802134276786,90.33385038375854,0.8443333333333333,"[('AKT2', True), ('CDH1', False), ('CDH2', True), ('CTNNB1', True), ('DNAdamage', False), ('ERK', True), ('Metastasis', False), ('Migration', True), ('SMAD', True), ('SNAI1', True)]"
